title,year,score,people
肖申克的救赎,1994,9.7,2185848人评价
霸王别姬,1993,9.6,1621684人评价
阿甘正传,1994,9.5,1649817人评价
这个杀手不太冷,1994,9.4,1834265人评价
泰坦尼克号,1997,9.4,1604062人评价
美丽人生,1997,9.5,1023745人评价
千与千寻,2001,9.4,1718217人评价
辛德勒的名单,1993,9.5,841637人评价
盗梦空间,2010,9.3,1604058人评价
忠犬八公的故事,2009,9.4,1094685人评价
海上钢琴师,1998,9.3,1306989人评价
星际穿越,2014,9.3,1276214人评价
楚门的世界,1998,9.3,1189785人评价
三傻大闹宝莱坞,2009,9.2,1459776人评价
机器人总动员,2008,9.3,1030233人评价
放牛班的春天,2004,9.3,1014001人评价
大话西游之大圣娶亲,1995,9.2,1166737人评价
熔炉,2011,9.3,714953人评价
疯狂动物城,2016,9.2,1405016人评价
无间道,2002,9.2,955216人评价
教父,1972,9.3,715026人评价
龙猫,1988,9.2,976229人评价
当幸福来敲门,2006,9.1,1175842人评价
怦然心动,2010,9.1,1370126人评价
触不可及,2011,9.2,761565人评价
控方证人,1957,9.6,322827人评价
蝙蝠侠：黑暗骑士,2008,9.2,796048人评价
活着,1994,9.3,617719人评价
末代皇帝,1987,9.3,585616人评价
寻梦环游记,2017,9.1,1184019人评价
乱世佳人,1939,9.3,525152人评价
何以为家,2018,9.1,745408人评价
指环王3：王者无敌,2003,9.2,579706人评价
摔跤吧！爸爸,2016,9.0,1203202人评价
飞屋环游记,2009,9.0,1021517人评价
少年派的奇幻漂流,2012,9.1,1084133人评价
十二怒汉,1957,9.4,351182人评价
哈利·波特与魔法石,2001,9.1,785028人评价
素媛,2013,9.3,486978人评价
鬼子来了,2000,9.3,472089人评价
哈尔的移动城堡,2004,9.1,752366人评价
天空之城,1986,9.1,645085人评价
大话西游之月光宝盒,1995,9.0,930536人评价
我不是药神,2018,9.0,1601129人评价
罗马假日,1953,9.0,745407人评价
闻香识女人,1992,9.1,652353人评价
天堂电影院,1988,9.2,497911人评价
辩护人,2013,9.2,467469人评价
搏击俱乐部,1999,9.0,664489人评价
大闹天宫,1961,9.3,305724人评价
猫鼠游戏,2002,9.0,644787人评价
教父2,1974,9.2,398953人评价
狮子王,1994,9.0,622783人评价
死亡诗社,1989,9.1,530390人评价
指环王2：双塔奇兵,2002,9.1,528197人评价
钢琴家,2002,9.2,407507人评价
黑客帝国,1999,9.0,602430人评价
指环王1：魔戒再现,2001,9.0,593590人评价
窃听风暴,2006,9.1,433680人评价
饮食男女,1994,9.1,440384人评价
美丽心灵,2001,9.0,578073人评价
两杆大烟枪,1998,9.1,465808人评价
让子弹飞,2010,8.8,1230714人评价
绿皮书,2018,8.9,1175424人评价
本杰明·巴顿奇事,2008,8.9,750450人评价
飞越疯人院,1975,9.1,450763人评价
看不见的客人,2016,8.8,907455人评价
海蒂和爷爷,2015,9.2,321316人评价
西西里的美丽传说,2000,8.9,745199人评价
拯救大兵瑞恩,1998,9.0,492798人评价
小鞋子,1997,9.2,307957人评价
穿条纹睡衣的男孩,2008,9.1,383346人评价
情书,1995,8.9,688484人评价
音乐之声,1965,9.0,455361人评价
海豚湾,2009,9.3,296893人评价
美国往事,1984,9.2,319379人评价
致命魔术,2006,8.9,657645人评价
低俗小说,1994,8.9,635076人评价
沉默的羔羊,1991,8.8,646271人评价
蝴蝶效应,2004,8.8,711563人评价
禁闭岛,2010,8.8,718515人评价
