title,info,score,people
肖申克的救赎,1994 / 美国 / 犯罪 剧情,9.7,2186881人评价
霸王别姬,1993 / 中国大陆 中国香港 / 剧情 爱情 同性,9.6,1622453人评价
阿甘正传,1994 / 美国 / 剧情 爱情,9.5,1650384人评价
这个杀手不太冷,1994 / 法国 美国 / 剧情 动作 犯罪,9.4,1834962人评价
泰坦尼克号,1997 / 美国 / 剧情 爱情 灾难,9.4,1604815人评价
美丽人生,1997 / 意大利 / 剧情 喜剧 爱情 战争,9.5,1024020人评价
千与千寻,2001 / 日本 / 剧情 动画 奇幻,9.4,1718980人评价
辛德勒的名单,1993 / 美国 / 剧情 历史 战争,9.5,842038人评价
盗梦空间,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,9.3,1604530人评价
忠犬八公的故事,2009 / 美国 英国 / 剧情,9.4,1095184人评价
海上钢琴师,1998 / 意大利 / 剧情 音乐,9.3,1307411人评价
星际穿越,2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,9.3,1276807人评价
楚门的世界,1998 / 美国 / 剧情 科幻,9.3,1190564人评价
三傻大闹宝莱坞,2009 / 印度 / 剧情 喜剧 爱情 歌舞,9.2,1460398人评价
机器人总动员,2008 / 美国 / 科幻 动画 冒险,9.3,1030629人评价
放牛班的春天,2004 / 法国 瑞士 德国 / 剧情 音乐,9.3,1014467人评价
大话西游之大圣娶亲,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.2,1167347人评价
熔炉,2011 / 韩国 / 剧情,9.3,715283人评价
疯狂动物城,2016 / 美国 / 喜剧 动画 冒险,9.2,1405738人评价
无间道,2002 / 中国香港 / 剧情 犯罪 悬疑,9.2,955777人评价
教父,1972 / 美国 / 剧情 犯罪,9.3,715313人评价
龙猫,1988 / 日本 / 动画 奇幻 冒险,9.2,976602人评价
当幸福来敲门,2006 / 美国 / 剧情 传记 家庭,9.1,1176372人评价
怦然心动,2010 / 美国 / 剧情 喜剧 爱情,9.1,1370891人评价
触不可及,2011 / 法国 / 剧情 喜剧,9.2,761798人评价
控方证人,1957 / 美国 / 剧情 犯罪 悬疑,9.6,322988人评价
蝙蝠侠：黑暗骑士,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,9.2,796302人评价
活着,1994 / 中国大陆 中国香港 / 剧情 历史 家庭,9.3,618019人评价
末代皇帝,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,9.3,586055人评价
寻梦环游记,2017 / 美国 / 喜剧 动画 奇幻 音乐,9.1,1184444人评价
乱世佳人,1939 / 美国 / 剧情 历史 爱情 战争,9.3,525365人评价
何以为家,2018 / 黎巴嫩 法国 美国 / 剧情,9.1,745947人评价
指环王3：王者无敌,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.2,579955人评价
摔跤吧！爸爸,2016 / 印度 / 剧情 传记 运动 家庭,9.0,1203753人评价
飞屋环游记,2009 / 美国 / 剧情 喜剧 动画 冒险,9.0,1021935人评价
少年派的奇幻漂流,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,9.1,1084406人评价
十二怒汉,1957 / 美国 / 剧情,9.4,351372人评价
哈利·波特与魔法石,2001 / 美国 英国 / 奇幻 冒险,9.1,785575人评价
素媛,2013 / 韩国 / 剧情,9.3,487301人评价
鬼子来了,2000 / 中国大陆 / 剧情 喜剧,9.3,472330人评价
哈尔的移动城堡,2004 / 日本 / 动画 奇幻 冒险,9.1,752747人评价
天空之城,1986 / 日本 / 动画 奇幻 冒险,9.1,645314人评价
大话西游之月光宝盒,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.0,930964人评价
我不是药神,2018 / 中国大陆 / 剧情 喜剧,9.0,1601788人评价
罗马假日,1953 / 美国 / 喜剧 剧情 爱情,9.0,745706人评价
闻香识女人,1992 / 美国 / 剧情,9.1,652607人评价
天堂电影院,1988 / 意大利 法国 / 剧情 爱情,9.2,498062人评价
辩护人,2013 / 韩国 / 剧情,9.2,467621人评价
搏击俱乐部,1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,9.0,664712人评价
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 动画 奇幻,9.3,305943人评价
猫鼠游戏,2002 / 美国 加拿大 / 传记 犯罪 剧情,9.0,645219人评价
教父2,1974 / 美国 / 剧情 犯罪,9.2,399162人评价
狮子王,1994 / 美国 / 动画 冒险 歌舞,9.0,623090人评价
死亡诗社,1989 / 美国 / 剧情,9.1,530612人评价
指环王2：双塔奇兵,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.1,528455人评价
钢琴家,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,9.2,407791人评价
黑客帝国,1999 / 美国 澳大利亚 / 动作 科幻,9.0,602685人评价
指环王1：魔戒再现,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,9.0,593837人评价
窃听风暴,2006 / 德国 / 剧情 悬疑,9.1,433795人评价
饮食男女,1994 / 中国台湾 美国 / 剧情 家庭,9.1,440660人评价
美丽心灵,2001 / 美国 / 传记 剧情,9.0,578291人评价
两杆大烟枪,1998 / 英国 / 剧情 喜剧 犯罪,9.1,465999人评价
让子弹飞,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,8.8,1231243人评价
绿皮书,2018 / 美国 / 剧情 喜剧 传记,8.9,1175992人评价
本杰明·巴顿奇事,2008 / 美国 / 剧情 爱情 奇幻,8.9,750788人评价
飞越疯人院,1975 / 美国 / 剧情,9.1,451095人评价
看不见的客人,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,907866人评价
海蒂和爷爷,2015 / 德国 瑞士 南非 / 剧情 冒险 家庭,9.2,321565人评价
西西里的美丽传说,2000 / 意大利 美国 / 剧情 战争 情色,8.9,745543人评价
拯救大兵瑞恩,1998 / 美国 / 剧情 历史 战争,9.0,493070人评价
小鞋子,1997 / 伊朗 / 剧情 儿童 家庭,9.2,308106人评价
穿条纹睡衣的男孩,2008 / 英国 美国 / 剧情 战争,9.1,383556人评价
情书,1995 / 日本 / 剧情 爱情,8.9,688768人评价
音乐之声,1965 / 美国 / 剧情 传记 爱情 歌舞,9.0,455561人评价
海豚湾,2009 / 美国 / 纪录片,9.3,296951人评价
美国往事,1984 / 美国 意大利 / 犯罪 剧情,9.2,319527人评价
致命魔术,2006 / 英国 美国 / 剧情 悬疑 惊悚,8.9,657820人评价
低俗小说,1994 / 美国 / 剧情 喜剧 犯罪,8.9,635363人评价
沉默的羔羊,1991 / 美国 / 剧情 犯罪 惊悚,8.8,646604人评价
蝴蝶效应,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.8,711920人评价
禁闭岛,2010 / 美国 / 剧情 悬疑 惊悚,8.8,718758人评价
七宗罪,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.8,743812人评价
心灵捕手,1997 / 美国 / 剧情,8.9,534982人评价
布达佩斯大饭店,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.8,675588人评价
春光乍泄,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,8.9,477672人评价
被嫌弃的松子的一生,2006 / 日本 / 剧情 歌舞,8.9,566832人评价
摩登时代,1936 / 美国 / 剧情 喜剧 爱情,9.3,216335人评价
阿凡达,2009 / 美国 英国 / 动作 科幻 冒险,8.7,1006656人评价
